,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,benghazi,0.0,LY,1544683430,100.0,32.12,20.07,67.13,18.86
1,punta arenas,75.0,CL,1544680800,76.0,-53.16,-70.91,50.0,11.41
2,ormara,0.0,PK,1544683432,76.0,25.21,64.64,74.33,11.81
3,byron bay,40.0,AU,1544680800,74.0,-28.65,153.62,89.6,23.04
4,salalah,0.0,OM,1544680200,33.0,17.01,54.1,86.0,6.93
5,mataura,24.0,NZ,1544683436,56.0,-46.19,168.86,71.9,9.69
6,atuona,0.0,PF,1544683438,100.0,-9.8,-139.03,81.35,15.5
7,bonthe,56.0,SL,1544683439,96.0,7.53,-12.5,75.95,1.74
8,clyde river,40.0,CA,1544680800,77.0,70.47,-68.59,-2.21,3.36
9,hobart,75.0,AU,1544680800,68.0,-42.88,147.33,68.0,17.22
10,bluff,92.0,AU,1544683443,95.0,-23.58,149.07,73.43,5.1
11,zaysan,32.0,KZ,1544683445,89.0,47.47,84.87,24.38,0.51
12,ushuaia,90.0,AR,1544680800,76.0,-54.81,-68.31,50.0,5.82
13,la ronge,5.0,CA,1544680800,79.0,55.1,-105.3,26.6,9.17
14,jardim,44.0,BR,1544683449,76.0,-21.48,-56.15,74.42,4.65
15,bathsheba,20.0,BB,1544680800,61.0,13.22,-59.52,78.8,19.46
16,ponta do sol,20.0,BR,1544683452,96.0,-20.63,-46,61.51,2.53
18,bermejo,76.0,AR,1544683453,80.0,-22.73,-64.34,78.29,1.63
19,kawalu,56.0,ID,1544683454,100.0,-7.38,108.21,75.86,1.97
20,bubaque,0.0,GW,1544683456,100.0,11.28,-15.83,78.83,10.47
22,pevek,64.0,RU,1544683458,100.0,69.7,170.27,-13.47,3.42
23,cape town,75.0,ZA,1544680800,77.0,-33.93,18.42,62.6,2.24
24,ust-ishim,92.0,RU,1544683460,89.0,57.69,71.17,14.71,8.01
25,nikolskoye,90.0,RU,1544682600,90.0,59.7,30.79,32.0,8.95
26,busselton,0.0,AU,1544683463,73.0,-33.64,115.35,76.81,2.08
27,torbay,90.0,CA,1544680800,79.0,47.66,-52.73,26.6,14.99
28,atar,0.0,MR,1544683466,53.0,20.52,-13.05,48.19,5.55
29,aklavik,90.0,CA,1544680800,76.0,68.22,-135.01,-5.81,7.67
30,castro,48.0,CL,1544680800,87.0,-42.48,-73.76,48.2,9.17
31,butaritari,68.0,KI,1544683470,100.0,3.07,172.79,85.54,16.17
32,albany,75.0,US,1544681820,67.0,42.65,-73.75,17.96,4.7
33,kruisfontein,0.0,ZA,1544683473,82.0,-34.0,24.73,66.41,9.24
34,upernavik,68.0,GL,1544683474,100.0,72.79,-56.15,19.93,7.45
35,tasiilaq,92.0,GL,1544680200,91.0,65.61,-37.64,37.4,21.92
36,geraldton,90.0,CA,1544680800,100.0,49.72,-86.95,26.6,3.36
37,arraial do cabo,0.0,BR,1544683478,93.0,-22.97,-42.02,73.52,13.71
38,port elizabeth,20.0,US,1544680560,84.0,39.31,-74.98,35.06,5.21
39,rikitea,92.0,PF,1544683481,100.0,-23.12,-134.97,73.7,11.59
40,khatanga,64.0,RU,1544683483,73.0,71.98,102.47,8.0,17.29
41,tuktoyaktuk,90.0,CA,1544680800,76.0,69.44,-133.03,-4.01,14.99
42,kodiak,90.0,US,1544681700,55.0,39.95,-94.76,39.02,6.93
43,fukue,20.0,JP,1544682600,100.0,35.03,136.69,51.8,3.36
44,jennings,80.0,AU,1544683488,79.0,-28.93,151.93,72.71,8.68
45,avarua,90.0,CK,1544680800,88.0,-21.21,-159.78,75.2,4.7
46,coquimbo,0.0,CL,1544680800,93.0,-29.95,-71.34,55.4,8.05
47,tomatlan,44.0,MX,1544683492,90.0,19.93,-105.25,65.24,2.19
48,hokitika,80.0,NZ,1544683493,96.0,-42.72,170.96,63.49,1.63
49,egvekinot,24.0,RU,1544683495,67.0,66.32,-179.17,-5.59,8.01
50,faanui,32.0,PF,1544683496,100.0,-16.48,-151.75,82.79,8.12
